sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000063,1.1125303361030352,6.743621364398082,3.9262484781675,2.27197312696651,3.7638035117889785,1.3426177643341846,-0.2831647644995643,-0.004633356049898225,6.5656789000001,4.445366643950102,3.0456789000001003
00_000064,0.06734950455523898,6.83312265960771,2.042745929913116,2.181041273785379,4.508374192497049,2.2953808177261723,-0.3803362200687612,-4.207641360647075,2.42825075692027,0.24235863935292556,-1.0917492430797302
00_000065,1.340632226577672,5.900361042832157,4.799082276897236,1.8272202133385176,3.573017130866167,2.7034309649576835,-0.16300944310414955,-0.02792712090356625,6.5656789000001,4.422072879096434,3.0456789000001003
00_000066,3.8855109952095734,4.8968803741358835,3.3596209467160785,1.620364578255482,4.637612873466714,1.8068378052339384,-4.447618344683403,-0.15955333376859476,6.5656789000001,4.290446666231405,3.0456789000001003
00_000067,0.3418619301220686,4.3046493884542025,2.6375929250283567,2.6856166970754702,3.7482659674631265,2.6726613783730655,-2.665602299870611,-23.824983964315,3.00929740546968,-19.374983964315,-0.5107025945303199
00_000068,0.1278693469875974,4.391678297648283,4.573990767640753,1.4520289548732899,6.176501650625427,1.6246169526001686,-0.623554616132389,-0.014602176391416975,6.5656789000001,4.435397823608583,3.0456789000001003
00_000069,0.8729253492938626,4.449852484401881,3.5972918675728733,3.610457355202961,2.927157100997938,3.6093348657140014,-3.698660039762655,-18.914152012066076,4.8566949906871,-14.464152012066076,1.3366949906871004
00_000070,0.32943375366556876,5.232620892662833,4.970416483589432,1.7401733926710263,3.3028288802670787,1.2191975194142675,-0.1018160234375145,-0.0012208135325880924,6.5656789000001,4.448779186467412,3.0456789000001003
00_000071,2.6986643394231113,5.929220586192469,1.42872631479641,2.68327606413564,3.088910303986543,1.747486010402581,-0.2245868579781467,-0.476797796704615,3.10039011109174,3.973202203295385,-0.41960988890826023
00_000072,0.6790385657712819,5.357247117411245,4.677536207905448,3.0426985416667143,2.848276855191436,1.0405479286721495,-4.497435801710889,-0.066384611890004,6.5656789000001,4.383615388109996,3.0456789000001003
00_000073,1.9886572006686793,3.9239929937748954,4.128479199432485,2.3970546625290385,4.627860896449018,2.4990074596377965,-4.390156266292551,-0.9493100420490175,6.5656789000001,3.500689957950983,3.0456789000001003
00_000074,1.2694073102189822,6.760726518529691,2.782863612111969,2.2110262711726936,2.07232526308883,3.3098265178299515,-3.8518877875675908,-25.5223040280565,4.00860612370917,-21.0723040280565,0.48860612370917034
00_000075,1.8506648703998307,2.275221431672181,1.308114182462786,1.0624572447764602,6.141838243201154,1.0456147037326256,-3.608531602082051,-0.01219751181948305,6.56671415781704,4.437802488180517,3.0467141578170396
00_000076,1.3207574965279354,5.047437986977887,2.0104892119314286,3.8306278103075284,4.484697755390795,1.979906036970712,-2.6049749870804644,-8.6551045212865,2.88088461508288,-4.2051045212865,-0.6391153849171198
00_000077,0.9777025564280848,6.7905714204341585,3.99031100065882,1.0907301805270635,3.776117237929728,2.2181536754611155,-1.0952889001377848,-0.06473534659431725,6.5656789000001,4.385264653405683,3.0456789000001003
00_000078,0.9008485309426177,6.623019631947261,2.8318780696013506,1.1644890561506005,6.734167515219426,1.1511599976005527,-3.8528506969417915,-0.016822887559550175,6.56671082734047,4.43317711244045,3.0467108273404704
00_000079,3.6081271740157144,6.38635148449677,4.5469290732195375,2.7968765827163544,4.286922001826266,3.1198688997982362,-2.0802779368033586,-1.577542715186285,6.5656789000001,2.872457284813715,3.0456789000001003
00_000080,0.26801936467876286,2.777601887233679,4.42450939553942,3.8771387879936854,6.830565809306455,1.6269106626052232,-4.685859265103886,-0.18610592928586875,6.5656789000001,4.263894070714131,3.0456789000001003
00_000081,3.6402663884365327,4.682573356002873,1.0225181394667229,1.014318462326432,3.6859208484532786,1.2972254362794589,-1.2987173122252873,-3.547563583249675,1.59699403311751,0.9024364167503252,-1.92300596688249
00_000082,1.8102755228571075,3.896389871452793,4.762712807668381,3.4465789787380925,3.3368379438237805,2.44139459271859,-0.583838377527595,-0.07931101885243624,6.5656789000001,4.3706889811475635,3.0456789000001003
00_000083,0.4352850128801191,2.1980504519091193,4.760013294799554,3.492839126478528,3.988740109130291,4.089942735376532,-1.1565618669289313,-5.43069295350265,6.5656789000001,-0.9806929535026496,3.0456789000001003
00_000084,3.6924247358876574,3.439590867319876,2.4029573185135655,3.3160893600728345,4.971201876427959,1.3677545056802156,-0.546545253931872,-0.009780947623688025,6.56671416932579,4.440219052376312,3.04671416932579
00_000085,2.3252282101868724,6.9705843518650346,4.317466848688092,2.247616690847706,4.977041416031746,4.326293203580151,-4.327503825370278,-100.39793520817075,6.5656789000001,-95.94793520817075,3.0456789000001003
00_000086,0.24244927546633854,5.620366064969428,3.1238947594623574,2.7505072021574573,6.83967857102014,3.673419828338857,-0.5771493269989607,-521.64220074541,9.22531648179785,-517.19220074541,5.705316481797851
00_000087,1.8785276744857828,4.394350688962048,4.5285256307717585,3.5073051107480273,4.01075882577853,1.8946474859188274,-3.5214925721545614,-0.20845998458132525,6.5656789000001,4.241540015418675,3.0456789000001003
00_000088,0.3130168546226877,6.28042202064198,2.905228766881527,2.8809970458632073,3.379887161606848,2.630867359613103,-2.7280310954408287,-8.401477472523725,3.98975656077571,-3.9514774725237247,0.46975656077571015
00_000089,1.9941318454168482,2.0554186039097777,2.189246734096694,1.962967940015254,2.997618009883116,1.4442250440767288,-1.437769332482873,-0.036996455146752,6.50415244163848,4.4130035448532485,2.98415244163848
00_000090,0.48270582876133467,5.137929303731486,3.472256762492785,2.71593860577481,3.5651907449952014,3.088860461396669,-1.7224179677891711,-2.33648454775152,5.1183383175596,2.11351545224848,1.5983383175595995
00_000091,2.3706307767745876,2.6904764768529508,1.8792768831223787,1.5318204916062952,5.767499710759598,1.7096536207308897,-4.301316194490932,-0.1300311607809245,6.56671416058153,4.319968839219076,3.0467141605815296
00_000092,3.5081642096823904,4.617107545537826,3.874148992015744,1.3112740374002554,5.724830550005601,4.048237842197333,-1.3704104460051751,-30.8459262176845,6.5656789000001,-26.3959262176845,3.0456789000001003
00_000093,3.3406386042219687,4.0408506704962015,3.584869943501528,2.3325078232905376,6.870479828444095,2.246215439604056,-1.1228472189882832,-0.2908817852757175,6.5656789000001,4.159118214724282,3.0456789000001003
00_000094,0.7263383918155039,3.7207173676399083,3.879862740711345,1.978706966214125,4.332920583381923,1.0833307207483287,-1.1810374535761827,-0.009460053509449775,6.5656789000001,4.44053994649055,3.0456789000001003
00_000095,1.521886139025872,4.050749064455987,4.156646606343619,1.6095078546154635,6.93376522899439,3.521467289226102,-4.594693606476886,-84.13746102883,6.5656789000001,-79.68746102883,3.0456789000001003
